"name","domain","hqCountry","source","sourceEvidenceUrl"
"Aebi Schmidt Holding AG",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Anfield Energy Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Antelope Enterprise Holdings Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aehr Test Systems",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alset Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Advanced Energy Industries, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aethlon Medical, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alliance Entertainment Holding Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"American Electric Power Company, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aeries Technology, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aeva Technologies, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AudioEye, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Affinity Bancshares, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Advanced Flower Capital Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aimei Health Technology Co., Ltd",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Forafric Global PLC",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Affirm Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Afya Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Allied Gaming & Entertainment Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Agencia Comercial Spirits Ltd",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Agenus Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aureus Greenway Holdings Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Agios Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AgomAb Therapeutics NV",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AGM Group Holdings Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AGNC Investment Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Axe Compute Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Agroz Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Agilysys, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AdaptHealth Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Akso Health Group",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ambitions Enterprise Management Co. L.L.C",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"20/20 Biolabs, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AI Financial Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Firefly Neuroscience, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AIFU Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Senmiao Technology Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Robo.ai Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ainos, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AIOS Tech Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"PowerFleet, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Arteris, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"reAlpha Tech Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Airgain, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AirJoule Technologies Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AIRO Group Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AirSculpt Technologies, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Air T, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Airship AI Holdings, Inc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AIxCrypto Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"XIAO-I Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Akamai Technologies, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Akanda Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Akebia Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aktis Oncology, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Akari Therapeutics Plc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Astera Labs, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alarum Technologies Ltd.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Avalon GloboCare Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alico, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aldel Financial II Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aldeyra Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alector, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Allegro MicroSystems, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Align Technology, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aligos Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Allegiant Travel Company",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alignment Healthcare, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alkermes plc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alkami Technology, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Allogene Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Allarity Therapeutics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Allot Ltd.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Almonty Industries Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alamar Biosciences, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alumis Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aeluma, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Allient Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alnylam Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AstroNova, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"REalloys Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alpha Compute Corp",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ALPS Group Inc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alarm.com Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alerus Financial Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Altimmune, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AlTi Global, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alto Ingredients, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alvotech",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ALX Oncology Holdings Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alzamend Neuro, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amalgamated Financial Corp.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Applied Materials, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Ambarella, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amber International Holding Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AMC Robotics Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AMC Global Media Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Advanced Micro Devices, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amgen Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Autonomix Medical, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amkor Technology, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amylyx Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Alpha Modus Holdings, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amplitech Group, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
